country,latestRate,pop2022
Afghanistan,38.168,40754.388
Albania,97.5539,2866.374
Algeria,79.6084,45350.148
American Samoa,97.3442,55.03
Andorra,100,77.463
Angola,71.1642,35027.343
Anguilla,95,15.23
Antigua and Barbuda,98.95,99.509
Argentina,98.09,46010.234
Armenia,99.7684,2971.966
Aruba,97.5242,107.609
Australia,99,26068.792
Austria,98,9066.71
Azerbaijan,99.8053,10300.205
Bahamas,95.6,400.516
Bahrain,95.7173,1783.983
Bangladesh,61.4938,167885.689
Barbados,99.7,288.023
Belarus,99.722,9432.8
Belgium,99,11668.278
Belize,82.7768,412.19
Benin,38.4471,12784.726
Bermuda,98,61.939
Bhutan,63.9068,787.941
Bolivia,95.1419,11992.656
Bosnia and Herzegovina,98.4858,3249.317
Botswana,88.2244,2441.162
Brazil,92.5868,215353.593
British Virgin Islands,97.8,30.596
Brunei,96.6565,445.431
Bulgaria,98.3886,6844.597
Burkina Faso,37.7467,22102.838
Burundi,85.4961,12624.84
Cambodia,78.3459,17168.639
Cameroon,74.9856,27911.548
Canada,99,38388.419
Cape Verde,88.4654,567.678
Cayman Islands,98.8678,67.277
Central African Republic,36.7526,5016.678
Chad,40.0182,17413.58
Chile,96.6275,19250.195
China,96.3575,1448471.4
Colombia,94.5771,51512.762
Comoros,78.1374,907.419
Cook Islands,95,17.571
Costa Rica,97.6472,5182.354
Croatia,99.2726,4059.286
Cuba,99.7107,11305.652
Cyprus,99.0598,1223.387
Denmark,99,5834.95
Djibouti,67.9,1016.097
Dominica,94,72.344
Dominican Republic,92.4654,11056.37
DR Congo,77.2217,95240.792
Ecuador,94.5155,18113.361
Egypt,75.8426,106156.692
El Salvador,87.6482,6550.389
Equatorial Guinea,95.1957,1496.662
Eritrea,73.8453,3662.244
Estonia,99.8235,1321.91
Eswatini,87.4702,1184.817
Ethiopia,49.0315,120812.698
Fiji,93.7,909.466
Finland,100,5554.96
France,99,65584.518
French Polynesia,98,284.164
Gabon,83.2379,2331.533
Gambia,55.5728,2558.482
Georgia,99.7596,3968.738
Germany,99,83883.596
Ghana,76.5759,32395.45
Gibraltar,80,33.704
Greece,95.2929,10316.637
Greenland,100,56.973
Grenada,96,113.475
Guam,99.789,171.519
Guatemala,79.0742,18584.039
Guinea,30.4728,13865.691
Guinea-Bissau,59.7728,2063.367
Guyana,87.5353,794.045
Haiti,60.6893,11680.283
Honduras,88.4246,10221.247
Hong Kong,93.5,7604.299
Hungary,99.3809,9606.259
Iceland,99,345.393
India,72.2253,1406631.776
Indonesia,95.4377,279134.505
Iran,87.1725,86022.837
Iraq,79.7218,42164.965
Ireland,99,5020.199
Israel,97.1,8922.892
Italy,99.0158,60262.77
Ivory Coast,43.2653,27742.298
Jamaica,88.4999,2985.094
Japan,99,125584.838
Jordan,98.0144,10300.869
Kazakhstan,99.7878,19205.043
Kenya,78.0234,56215.221
Kuwait,96.1177,4380.326
Kyrgyzstan,99.5013,6728.271
Laos,79.8675,7481.023
Latvia,99.8927,1848.837
Lebanon,94.0511,6684.849
Lesotho,79.3609,2175.699
Liberia,47.6001,5305.117
Libya,91.3889,7040.745
Liechtenstein,100,38.387
Lithuania,99.8233,2661.708
Luxembourg,100,642.371
Madagascar,64.6563,29178.077
Malawi,65.9638,20180.839
Malaysia,94.637,33181.072
Maldives,99.321,540.985
Mali,33.0689,21473.764
Malta,94.0666,444.033
Marshall Islands,98.2651,60.057
Mauritania,52.1236,4901.981
Mauritius,90.616,1274.727
Mexico,94.5456,131562.772
Micronesia,89,117.489
Moldova,99.2444,4013.171
Monaco,99,39.783
Mongolia,98.3676,3378.078
Montenegro,98.7199,627.95
Montserrat,97,4.965
Morocco,71.7105,37772.756
Mozambique,58.8366,33089.461
Myanmar,93.0901,55227.143
Namibia,90.8205,2633.874
Nepal,64.6636,30225.582
Netherlands,99,17211.447
New Caledonia,96.9378,290.915
New Zealand,99,4898.203
Nicaragua,82.4718,6779.1
Niger,19.1026,26083.66
Nigeria,59.5681,216746.934
Niue,95,1.622
North Macedonia,97.8438,2081.304
Northern Mariana Islands,97,58.269
Norway,100,5511.37
Oman,93.9716,5323.993
Pakistan,56.4403,229488.994
Palau,99.524,18.233
Palestine,96.668,5345.541
Panama,95.0382,4446.964
Papua New Guinea,63.4335,9292.169
Paraguay,95.5361,7305.843
Peru,94.3744,33684.208
Philippines,96.618,112508.994
Poland,99.7874,37739.785
Portugal,95.4281,10140.57
Puerto Rico,93.3294,2829.812
Qatar,97.7571,2979.915
Romania,98.757,19031.335
Russia,99.7196,145805.947
Rwanda,71.2435,13600.464
Saint Kitts and Nevis,97.8,53.871
Saint Lucia,90.1,185.113
Saint Pierre and Miquelon,99,5.759
Saint Vincent and the Grenadines,95.6322,111.551
Samoa,99.015,202.239
San Marino,96,34.085
Sao Tome and Principe,91.7471,227.679
Saudi Arabia,94.8424,35844.909
Senegal,55.6249,17653.671
Serbia,98.0029,8653.016
Seychelles,95.3211,99.426
Sierra Leone,48.4319,8306.436
Singapore,96.7746,5943.546
Slovakia,99.6,5460.193
Slovenia,99.7148,2078.034
Solomon Islands,84.1,721.159
Somalia,37.8,16841.795
South Africa,94.5979,60756.135
South Korea,97.9659,51329.899
South Sudan,31.9763,11618.511
Spain,98.1145,46719.142
Sri Lanka,92.6142,21575.842
Sudan,58.6013,45992.02
Suriname,95.539,596.831
Sweden,99,10218.971
Switzerland,99,8773.637
Syria,86.3039,19364.809
Taiwan,96.1,23888.595
Tajikistan,99.7811,9957.464
Tanzania,80.3595,63298.55
Thailand,93.983,70078.203
Togo,66.5376,8680.837
Tonga,99.3979,107.749
Trinidad and Tobago,98.9696,1406.585
Tunisia,81.0542,12046.656
Turkey,95.6881,85561.976
Turkmenistan,99.6929,6201.943
Turks and Caicos Islands,98,39.741
Uganda,73.8098,48432.863
Ukraine,99.7641,43192.122
United Arab Emirates,92.9864,10081.785
United Kingdom,99,68497.907
United States,99,334805.269
Uruguay,98.4421,3496.016
Uzbekistan,99.9952,34382.084
Vanuatu,85.0587,321.832
Venezuela,95.3992,29266.991
Vietnam,94.5143,98953.541
Wallis and Futuna,50,10.982
Yemen,69.962,31154.867
Zambia,85.1173,19470.234
Zimbabwe,86.8735,15331.428
